No,Service_type,Cost_Type,Product_Group,Serial_No,City,Product_Date,Receipt_Date,Appoint_Date,Complete_Date,TAT01,TAT02,Job_Satus,Defect_Des,Symptom_Desc,Repair_Action_Desc,Labor_Charge_Desc,Engineer,Labor_Charge_Amount,Parts_Amount,Discount_Amount,Total_Invoice_Amount
486,0,Normal Warranty,LED46,IP2JR2/42IPQE,TABRIZ,,12/30/2012,1/22/2013,1/23/2013,23,24,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Maximum,Tech13,540000,32834087.64,6674817.528,26688270.11
487,0,Normal Warranty,DVD PLAYER,2FOLAHFZ7E-2-R,SHIRAZ,,12/30/2012,12/30/2012,1/5/2013,0,6,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Major,Tech14,170000,0,34000,136000
488,0,Normal Warranty,HARD DISK DRIVE,SQEKJ2JBKLAIP24/,Tehran,,12/30/2012,1/1/2013,1/1/2013,2,2,1,WORN-OUT,OTHER PROBLEMS,SOFTWARE UPGRADE,Maximum,Tech07,180000,0,36000,144000
489,0,Normal Warranty,LCD-40,IP2JRIP/QEKLQE,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech22,0,0,0,0
490,0,Normal Warranty,LCD-40,IP2JRA/KLQE/2,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech22,0,0,0,0
491,0,Normal Warranty,LCD-40,IP2JR2/7KLZ-,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech22,0,0,0,0
492,0,Normal Warranty,LCD-40,IP2JQB/KL/KL2IP,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech22,0,0,0,0
493,0,Normal Warranty,LCD-40,IP2JQC/KLKL-/-,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech22,0,0,0,0
494,0,Normal Warranty,LCD-40,IP2JR2/74242,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech22,0,0,0,0
495,0,Normal Warranty,LCD-40,IP2JQC/KL7ZIP,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech22,0,0,0,0
496,0,Normal Warranty,LED40,IP2JQC/KLE42,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech04,0,0,0,0
497,0,Out of Warranty,AUDIO - MP3 Player,AU/Z24QE4-N,Tehran,40187,12/30/2012,12/31/2012,1/8/2013,1,8,0,SHORT,NO POWER,ELECTRICAL PARTS REPLACEMENT,Free Of Charge,Tech08,0,0,0,0
498,0,Normal Warranty,LCD-40,IP2JRA/7QEZ,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech04,0,0,0,0
499,0,Normal Warranty,LCD-40,IP2JQA/-KL44/,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech04,0,0,0,0
500,0,Normal Warranty,LED40,IP2JQB/-27KL/,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech04,0,0,0,0
501,0,Out of Warranty,CAMCORDER,Z-A-KL7IK2/KL2-IPK,Tehran,38361,12/30/2012,1/1/2013,1/1/2013,2,2,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Free Of Charge,Tech08,0,528776.58,105855.316,423821.264
502,0,Normal Warranty,LED40,IP2JQC2/-IP-KL2,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech04,0,0,0,0
503,0,Normal Warranty,PLASMA-43,IP2JRKL/-4A4A,ROBAT KARIM,,12/30/2012,1/1/2013,1/2/2013,2,3,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Maximum,Tech04,540000,10818317.88,2271663.576,8086654.304
504,0,Normal Warranty,LCD-40,IP2JR2/7QE44,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech04,0,0,0,0
505,0,Out of Warranty,AUDIO - MP3 Player,2/ZZIPUIP,Tehran,,12/30/2012,12/31/2012,1/8/2013,1,8,1,WORN-OUT,Test OK,No Action,Free Of Charge,Tech08,0,0,0,0
506,0,Normal Warranty,LED40,IP2JQ2/4A/2-,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Free Of Charge,Tech04,0,0,0,0
